2022-05-29 12:52:34,235 DEBUG views 
2022-05-29 12:52:34,235 INFO views 
2022-05-29 12:52:34,235 WARNING views 
2022-05-29 12:52:34,235 ERROR views 
2022-05-29 12:52:34,235 CRITICAL views 
2022-05-29 12:52:45,647 DEBUG views 
2022-05-29 12:52:45,648 INFO views 
2022-05-29 12:52:45,648 WARNING views 
2022-05-29 12:52:45,648 ERROR views 
2022-05-29 12:52:45,648 CRITICAL views 
2022-05-29 12:52:48,857 DEBUG views 
2022-05-29 12:52:48,857 INFO views 
2022-05-29 12:52:48,857 WARNING views 
2022-05-29 12:52:48,857 ERROR views 
2022-05-29 12:52:48,857 CRITICAL views 
2022-05-29 12:52:52,661 DEBUG views 
2022-05-29 12:52:52,661 INFO views 
2022-05-29 12:52:52,661 WARNING views 
2022-05-29 12:52:52,661 ERROR views 
2022-05-29 12:52:52,661 CRITICAL views 
2022-05-29 12:52:56,145 DEBUG views 
2022-05-29 12:52:56,145 INFO views 
2022-05-29 12:52:56,145 WARNING views 
2022-05-29 12:52:56,146 ERROR views 
2022-05-29 12:52:56,146 CRITICAL views 
2022-05-29 12:53:22,448 DEBUG views 
2022-05-29 12:53:22,448 INFO views 
2022-05-29 12:53:22,448 WARNING views 
2022-05-29 12:53:22,448 ERROR views 
2022-05-29 12:53:22,448 CRITICAL views 
2022-05-29 12:53:25,274 DEBUG views 
2022-05-29 12:53:25,274 INFO views 
2022-05-29 12:53:25,274 WARNING views 
2022-05-29 12:53:25,275 ERROR views 
2022-05-29 12:53:25,275 CRITICAL views 
2022-05-29 12:54:18,744 DEBUG views 
2022-05-29 12:54:18,744 INFO views 
2022-05-29 12:54:18,744 WARNING views 
2022-05-29 12:54:18,744 ERROR views 
2022-05-29 12:54:18,744 CRITICAL views 
2022-05-29 12:54:21,936 DEBUG views 
2022-05-29 12:54:21,936 INFO views 
2022-05-29 12:54:21,936 WARNING views 
2022-05-29 12:54:21,936 ERROR views 
2022-05-29 12:54:21,936 CRITICAL views 
2022-05-29 13:01:55,701 DEBUG views 
2022-05-29 13:01:55,702 INFO views 
2022-05-29 13:01:55,702 WARNING views 
2022-05-29 13:01:55,702 ERROR views 
2022-05-29 13:01:55,702 CRITICAL views 
